id,total_len,previous_cost,synthesis_len,cost
HEK_1.dna,5423,433.84000000000003,0,0.0
HEK_3.dna,5551,444.08,588,47.04
HEK_2.dna,5711,456.88,746,59.68
HEK_6.dna,7203,576.24,2238,179.04
HEK_7.dna,7493,599.44,2266,181.28
HEK_5.dna,9045,723.6,4082,326.56
HEK_4.dna,7711,616.88,2748,219.84
HEK_18.dna,5877,470.16,912,72.96000000000001
HEK_19.dna,7683,614.64,2980,238.4
HEK_11.dna,5519,441.52,554,44.32
HEK_10.dna,5567,445.36,604,48.32
HEK_12.dna,6975,558.0,2012,160.96
HEK_13.dna,5943,475.44,978,78.24
HEK_17.dna,5819,465.52,856,68.48
HEK_16.dna,5879,470.32,916,73.28
HEK_14.dna,6019,481.52,1054,84.32000000000001
HEK_15.dna,6081,486.48,1118,89.44
HEK_9.dna,5449,435.92,486,38.88
HEK_8.dna,5507,440.56,544,43.52
